Name;Publication Year;ISSN;eISSN;JIF Quartile
NATURE COMMUNICATIONS;2021;2041-1723;2041-1723;Q1
CHEMICAL ENGINEERING JOURNAL;2021;1385-8947;1873-3212;Q1
SCIENCE OF THE TOTAL ENVIRONMENT;2021;0048-9697;1879-1026;Q1
SCIENTIFIC REPORTS;2021;2045-2322;2045-2322;Q2
NEW ENGLAND JOURNAL OF MEDICINE;2021;0028-4793;1533-4406;Q1
NATURE;2021;0028-0836;1476-4687;Q1
JOURNAL OF HAZARDOUS MATERIALS;2021;0304-3894;1873-3336;Q1
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;2021;1422-0067;1422-0067;Q1
JOURNAL OF CLEANER PRODUCTION;2021;0959-6526;1879-1786;Q1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION;2021;1433-7851;1521-3773;Q1
ACS APPLIED MATERIALS & INTERFACES;2021;1944-8244;1944-8252;Q1
CHEMOSPHERE;2021;0045-6535;1879-1298;Q1
PLOS ONE;2021;1932-6203;1932-6203;Q2
SUSTAINABILITY;2021;2071-1050;2071-1050;Q2
