PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Taskaldiran, I; Vuraloglu, E; Bozkus, Y; Iyidir, OT; Nar, A; Tutuncu, NB				Taskaldiran, Isilay; Vuraloglu, Emre; Bozkus, Yusuf; Iyidir, Ozlem Turhan; Nar, Asli; Tutuncu, Neslihan Bascil			Menstrual Changes after COVID-19 Infection and COVID-19 Vaccination	INTERNATIONAL JOURNAL OF CLINICAL PRACTICE			English	Article								Background. Several factors such as stress, depression, infection, and vaccination influenced the menstrual cycle in women during the coronavirus disease 2019 (COVID-19) pandemic. We investigated whether there were changes in the menstrual cycle in women after COVID-19 vaccination or infection and, if so, the nature of the change. Methods. This study was designed as a descriptive, cross-sectional study. A face-to-face survey was conducted among menstruating women aged 18-50 years from May 31 to July 31, 2022. Women were inquired about their first three menstrual cycles that occurred after COVID-19 infection or vaccination. Results. Of 241 women with COVID-19 infection, 86 (35.7%) mentioned that they experienced various changes in their menstrual patterns in the first three cycles after infection. Of 537 participants who received various COVID-19 vaccines, 82 (15.1%) stated that they experienced changes in their menstrual patterns after vaccination. The incidence of postvaccination menstrual change was higher in women who received Pfizer-BioNTech and Sinovac (CoronaVac) vaccines. Only 10.9% of women who reported a change in their menstrual pattern after vaccination or infection consulted a physician. Conclusion. COVID-19 infection and vaccination can affect the menstrual cycle in women. It is important to be aware of the menstrual changes after COVID-19 infection and vaccination and to warn and inform women about this issue.	[Taskaldiran, Isilay; Bozkus, Yusuf; Iyidir, Ozlem Turhan; Nar, Asli; Tutuncu, Neslihan Bascil] Baskent Univ, Fac Med, Dept Endocrinol & Metab, Ankara, Turkey; [Vuraloglu, Emre] Baskent Univ, Fac Med, Dept Family Med, Ankara, Turkey		Taskaldiran, I (corresponding author), Baskent Univ, Fac Med, Dept Endocrinol & Metab, Ankara, Turkey.	dr.isilaymenekse@hotmail.com	Turhan Iyidir, Ozlem/K-7904-2019; Bascil Tutuncu, Neslihan/ABG-5027-2020	Turhan Iyidir, Ozlem/0000-0001-5305-6807; Bascil Tutuncu, Neslihan/0000-0002-1816-3903					21	0	0	0	0	WILEY-HINDAWI	LONDON	ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, WIT 5HE, ENGLAND	1368-5031	1742-1241		INT J CLIN PRACT	Int. J. Clin. Pract.	OCT 27	2022	2022								3199758	10.1155/2022/3199758	http://dx.doi.org/10.1155/2022/3199758			5	Medicine, General & Internal; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine; Pharmacology & Pharmacy	6A4FK	36349056	gold, Green Published			2022-11-22	WOS:000880612200003
J	Erdogan, A; Guney, S				Erdogan, Alperen; Guney, Selda			Object classification on noise-reduced and augmented micro-doppler radar spectrograms	NEURAL COMPUTING & APPLICATIONS			English	Article; Early Access						Micro-Doppler radar; Radar signal classification; Data augmentation; Noise reduction	MOTION; RECOGNITION; MODEL; SIGNATURES	The classification of targets is one of the most challenging tasks in radar signal processing. Classifying a target can help radar operators figure out the nature of the target, such as its source and activity. However, it is very difficult to find the labeled data necessary to develop radar target classification models. Generating a radar dataset is an expensive and time-consuming process. To address these issues, we propose a noise reduction method that can be applied to micro-Doppler radar datasets. This method is carried out by averaging the spectrogram of each class in the RadEch micro-Doppler radar datasets and subtracting pixel by pixel from each sample. RadEch dataset has also been augmented with traditional and learning-based data augmentation methods. The learning-based data augmentation method was carried out by using Generative Adversarial Networks. Raw spectrograms, augmented spectrograms and noise-reduced spectrograms have been classified using 5-layer Convolutional Neural Network, VGG-16, and VGG-19. Classification results are compared with state-of-the-art studies. Comparison results show that the classification on noise-reduced spectrogram performs better than current state-of-the-art methods.	[Erdogan, Alperen] Baskent Univ, Inst Sci & Engn, TR-06790 Ankara, Turkey; [Guney, Selda] Baskent Univ, Dept Elect & Elect Engn, TR-06790 Ankara, Turkey		Erdogan, A (corresponding author), Baskent Univ, Inst Sci & Engn, TR-06790 Ankara, Turkey.	alperenerdogan@icloud.com; 21910475@mail.baskent.edu.tr							44	0	0	3	3	SPRINGER LONDON LTD	LONDON	236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND	0941-0643	1433-3058		NEURAL COMPUT APPL	Neural Comput. Appl.												10.1007/s00521-022-07776-3	http://dx.doi.org/10.1007/s00521-022-07776-3		SEP 2022	19	Computer Science, Artificial Intelligence	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	4O5JV					2022-11-22	WOS:000854734900004
J	Ozcan, H				Ozcan, Halil			The Blockade of the Dardanelles Strait and the Occupation of Bozcaada During the Tripoli and Balkan Wars, Through the Eyes of Telegrapher Ihsan (Pere) Bey	CTAD-CUMHURIYET TARIHI ARASTIRMALARI DERGISI			Turkish	Article						Bozcaada; the Dardanelles; Tripoli; Balkan War; Telegrapher ihsan Pere		Tripoli and Balkan Wars accelerated the process leading to the collapse of the Ottoman Empire. In these wars, the Dardanelles Strait and the islands near the strait were the common target chosen by Italy and Greece for the surrender of the Ottoman Empire. In both wars, Ihsan (Pere) Bey served as the telegraph officer of the British Eastern Cable Company in Bozcaada. The Tripoli War was continuing when Ihsan Bey, who had started his civil service as an officer of the Istanbul Beyoglu British Cable Company, was appointed as officer to Bozcaada for the second time. Ihsan Bey's witnessing in Bozcaada to the hot war of the Italian Navy and the Turkish Redoubts on April 18, 1912 and the detailed information he has given are important. In addition, the occupation of Bozcaada by Greece during the Balkan War is also included in detail in Ihsan Bey's memoirs. The originality of this study results from the fact that Ihsan Bey's memoirs when Italians reached to the entrance of the Dardanelles and regarding the occupation of Bozcaada are evaluated scientifically and published for the first time.	[Ozcan, Halil] Baskent Univ, Ataturk Ilkeleri Uygulama & Arastirma Merkezi, Ankara, Turkey		Ozcan, H (corresponding author), Baskent Univ, Ataturk Ilkeleri Uygulama & Arastirma Merkezi, Ankara, Turkey.	hozcan@baskent.edu.tr							32	0	0	0	0	HACETTEPE UNIV	ANKARA	HACETTEPE UNIV, ANKARA, 6532, TURKEY	1305-1458	2147-1592		CTAD-CUMHUR TARIHI A	CTAD-Cumhur. Tarihi Arast. Derg.	SPR	2022	18	35					103	135						33	History	Emerging Sources Citation Index (ESCI)	History	3G9JU					2022-11-22	WOS:000831662800004
J	Boyvat, F; Ozen, O; Soy, EHA; Haberal, M				Boyvat, F.; Ozen, O.; Soy, Ayvazoglu E. H.; Haberal, M.			Can we prevent bleeding or seeding after biopsy for HCC in cirrhotic liver patient?	TRANSPLANTATION			English	Meeting Abstract									[Boyvat, F.; Ozen, O.] Baskent Univ, Radiol, Ankara, Turkey; [Soy, Ayvazoglu E. H.; Haberal, M.] Baskent Univ, Transplantat, Ankara, Turkey				SOY, EBRU H. AYVAZOGLU/AAC-5566-2019; Haberal, Mehmet/AAJ-8097-2021; boyvat, fatih/F-4230-2011	SOY, EBRU H. AYVAZOGLU/0000-0002-0993-9917; Haberal, Mehmet/0000-0002-3462-7632; 					0	0	0	0	0	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA	0041-1337	1534-6080		TRANSPLANTATION	Transplantation	AUG	2021	105	8		1		P-394	126	126						1	Immunology; Surgery; Transplantation	Science Citation Index Expanded (SCI-EXPANDED)	Immunology; Surgery; Transplantation	UN0IM					2022-11-22	WOS:000693706200206
J	Cetin, MB; Sezgin, Y; Akinci, S; Alptekin, NO				Cetin, Mehtap Bilgin; Sezgin, Yasemin; Akinci, Seray; Alptekin, Nilgun Ozlem			Evaluating Well-being Among Dental Students Using the Warwick-Edinburgh Mental Well-being Scale and the Relationship Between Mental Well-being and Socio-demographic Findings	MEANDROS MEDICAL AND DENTAL JOURNAL			English	Article						Dental education; dental students; mental well-being; questionnaire; Warwick-Edinburgh Mental Well-Being Scale	QUALITY-OF-LIFE; MEDICAL-STUDENTS; HEALTH; HAPPINESS; STRESS; SATISFACTION; VALIDATION; WEMWBS	Objective: The present study aimed to measure mental well-being among dental students using the Warwick-Edinburgh Mental Well-being Scale (WEMWBS) and to investigate factors affecting well-being. Materials and Methods: Baskent University Faculty of Dentistry students were invited to participate in the study in 2019. The participants were asked to complete the WEMWBS and a questionnaire describing their demographic details, social background and lifestyle habits. Results: A total of 268 dental students (68% females) participated in the survey, with a response rate of 85%. The overall WEMWBS score of the study population was 48.18 +/- 9.6. Statistically significant differences in WEMWBS scores were detected between first- and fourth-year (p<0.001) students and between fourth- and fifth-year students (p<0.001). Male students (p<0.001) whose first choice was to attend the school of dentistry (p=0.024) and who pursued hobbies (p=0.001) or regular sports activities (p=0.001) had significantly higher WEMWBS scores than those who did not. Dental students' smoking status (p=0.630), living accommodation (p=0.71) or parents' education level did not affect WEMWBS scores significantly. Conclusion: The mental well-being of dental students was influenced by their year of study, gender, first choice of school and pursuit of hobbies or regular sports activities. Factors that may affect the mental well-being of students should be carefully considered, and strategies should be implemented to monitor and promote well-being during the students' academic career.	[Cetin, Mehtap Bilgin; Sezgin, Yasemin; Akinci, Seray; Alptekin, Nilgun Ozlem] Baskent Univ, Dept Periodontol, Fac Dent, Ankara, Turkey		Cetin, MB (corresponding author), Baskent Univ, Dept Periodontol, Fac Dent, Ankara, Turkey.	mehtapblgn@yahoo.com	Alptekin, Nilgun Ozlem/G-1816-2014	Alptekin, Nilgun Ozlem/0000-0003-4104-6462	Baskent University Research Fund [D-KA19/28]	Baskent University Research Fund(Baskent University)	Baskent University Research Fund supported this research (D-KA19/28).		42	2	2	4	13	GALENOS YAYINCILIK	FINDIKZADE	MOLLA GURANI MAHALLESI KACAMAK SOKAK NO 21, FINDIKZADE, ISTANBUL 34093, TURKEY	2149-9063			MEAND MED DENT J	Meand. Med. Dent. J.	AUG	2021	22	2					125	133		10.4274/meandros.galenos.2021.69783	http://dx.doi.org/10.4274/meandros.galenos.2021.69783			9	Medicine, General & Internal	Emerging Sources Citation Index (ESCI)	General & Internal Medicine	RZ5WS		gold			2022-11-22	WOS:000648668200002
J	Ankishan, H; Inam, SC				Ankishan, Haydar; Inam, Sitki Cagdas			Voice pathology detection by using the deep network architecture	APPLIED SOFT COMPUTING			English	Article						Voice disorders; Hybrid feature vector; Voice pathology detection; Deep network architecture	DISORDERS; SIGNAL	Pathological voice disorders are among the conditions affecting negatively our daily life. The aim of this study is to introduce the new feature vector in the hybrid axis and multi-model in order to diagnose these disorders with more conventional methods. Two different databases are used, and the results are compared with the previous studies. Here, two types of fusion models (feature and decision level fusion) are used to increase the classification accuracy of the multi-model. The experimental results show that the proposed multi-model gives the highest classification accuracies with decision level fusion (DLF). Inspecting the results obtained from two databases, the highest accuracy rate (99.58%) is obtained with DLF. It is also seen from the experiments that the proposed feature vector helps to classify pathological data successfully, depending on their pathological conditions. Together with the proposed multi-model, both LSTM and CNN are found to be similarly successful in the classification of data in multi-model architecture. (C) 2021 Elsevier B.V. All rights reserved.	[Ankishan, Haydar] Baskent Univ, Vocat Sch Tech Sci, Ankara, Turkey; [Inam, Sitki Cagdas] Baskent Univ, Elect & Elect Engn, Ankara, Turkey		Ankishan, H (corresponding author), Baskent Univ, Vocat Sch Tech Sci, Ankara, Turkey.	hankishan@baskent.edu.tr; inam@baskent.edu.tr		Ankishan, Haydar/0000-0002-6240-2545					54	1	1	2	5	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	1568-4946	1872-9681		APPL SOFT COMPUT	Appl. Soft. Comput.	JUL	2021	106								107310	10.1016/j.asoc.2021.107310	http://dx.doi.org/10.1016/j.asoc.2021.107310		APR 2021	11	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	SU8MB					2022-11-22	WOS:000663384000001
J	Celik, M; Ozkan, M				Celik, Mehmet; Ozkan, Murat			Alternate Approach to Hypoplastic Left Heart Syndrome Stage 1 Surgery	ANNALS OF THORACIC SURGERY			English	Editorial Material								Hypoplastic left heart syndrome is almost always fatal in neonates unless it is palliated surgically. The conventional Norwood procedure with a Blalock-Taussig shunt or a Sano modification and a hybrid approach with branch pulmonary artery banding and ductal stenting are common surgical options. An alternate technique with a different strategy to restore pulmonary blood flow is described in this report. (C) 2021 by The Society of Thoracic Surgeons	[Celik, Mehmet; Ozkan, Murat] Baskent Univ, Dept Cardiovasc Surg, Konya, Turkey		Celik, M (corresponding author), Baskent Univ, Konya Practice & Res Ctr, Hocacihan Mh Saray Cd 1 Selcuklu, TR-42080 Konya, Turkey.	mehmert1981@gmail.com	Çelik, Mehmet/AAT-2031-2021	Çelik, Mehmet/0000-0002-5018-0068					4	2	2	0	2	ELSEVIER SCIENCE INC	NEW YORK	STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA	0003-4975	1552-6259		ANN THORAC SURG	Ann. Thorac. Surg.	MAR	2021	111	3					e173	e175		10.1016/j.athoracsur.2020.06.049	http://dx.doi.org/10.1016/j.athoracsur.2020.06.049		FEB 2021	3	Cardiac & Cardiovascular Systems; Respiratory System; Surgery	Science Citation Index Expanded (SCI-EXPANDED)	Cardiovascular System & Cardiology; Respiratory System; Surgery	RJ7FM	32841624				2022-11-22	WOS:000637766100007
J	Sancakli, O; Aslan, AA				Sancakli, Ozlem; Aslan, Asli Akin			The effects of maternal anxiety and attitudes on the adherence to inhaled corticosteroids in children with asthma	ALLERGOLOGIA ET IMMUNOPATHOLOGIA			English	Article						asthma; children; mothers; anxiety; attitude; adherence	CHILDHOOD ASTHMA; DEPRESSION PARAMETERS; MEDICATION; CARE; KNOWLEDGE; PARENTS	Objective: Long-term inhaled corticosteroid (ICS) use in children with asthma causes serious concerns in parents, leading to treatment non-adherence. This study aimed to investigate the effect of maternal anxiety and attitudes on adherence to ICS therapy in children with asthma. Method: The patient group included the children with mild to moderate persistent asthma, aged 6-11 years. Healthy children in a similar age range were included as a control group. The patient group was divided into two categories (treatment adherent and non-adherent) according to the regularity of ICS use. All patients were assessed with Childhood-Asthma Control Test (C-ACT), and their mothers were assessed using Parent Attitude Research Instrument (PARI) and Beck's Anxiety Inventory (BAI). Results: A total of 156 children (age: 7.4 +/- 1.4 years, F/M: 71/85) with persistent asthma and 60 healthy children (age: 7.5 +/- 1.3 years, F/M:25/35) were included in the study. The rate of adherence in children with asthma was 52.6%. Mothers of non-adherent patients had significantly higher BAI scores than those of the adherent patients and controls (p < 0.001 and p < 0.001, respectively). The number of mothers who indicated that they did not have enough information about asthma and treatment was also higher in the non-adherent group. PARI subtest scores were not different between the adherent and non-adherent groups. Conclusions: In our study, it was found that mothers' anxiety levels and their knowledge about asthma and medications were associated with treatment adherence in children with asthma. Psychological and educational support to the families of children with asthma would improve their treatment adherence and efficacy. (C) 2021 Codon Publications. Published by Codon Publications.	[Sancakli, Ozlem] Baskent Univ, Dept Pediat Allergy, Izmir, Turkey; [Aslan, Asli Akin] Baskent Univ, Dept Psychiat, Izmir, Turkey		Sancakli, O (corresponding author), Baskent Univ, Dept Pediat Allergy, Izmir, Turkey.	sancakliozlem@yahoo.com							33	1	1	1	4	CODON PUBLICATIONS	BRISBANE	LEVEL 9, 167 EAGLE ST, BRISBANE, QLD 4000, AUSTRALIA	0301-0546	1578-1267		ALLERGOL IMMUNOPATH	Allergol. Immunopath.		2021	49	3					138	145		10.15586/aei.v49i3.196	http://dx.doi.org/10.15586/aei.v49i3.196			8	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	TD7QE	33938199	gold			2022-11-22	WOS:000669515800018
J	Yildizi, O; Daez, SA; Findikcioglu, A; Kos, F				Yildizi, Oya; Daez, Shute Ailia; Findikcioglu, Alper; Kos, Fatih			Survival outcome of pulmonary metastasectomy among the patients with colorectal cancers	REVISTA DA ASSOCIACAO MEDICA BRASILEIRA			English	Article						Colorectal cancer; Pulmonary metastasectomy; Second relapse; Surgical resection; Oligometastases	COLON-CANCER; MANAGEMENT; RESECTION; SURGERY	OBJECTIVE: Pulmonary metastasectomy for the treatment of metastatic colorectal cancer is essential, but high ranked evidence of survival benefit is lacking. Here, we aimed to examine the prognostic factors after pulmonary metastasectomy in patients with colorectal cancer. METHODS: This is a single-center, retrospective hospital-based observational case series study. We reviewed data for 607 patients with metastatic colorectal cancer (mCRC) who were treated and observed from 2012 to 2019. Of the 607 patients with mCRC, 87 were with solitary lung metastases. Of the 87 patients, 39 were not appropriate for metastasectomy, while 15 patients recognized as suitable candidates by the multidisciplinary thoracic tumor board rejected metastasectomy. Consequently, only 33 patients were included in the final analysis. RESULTS: Rectum was detected as the primary site in 16 (48.5%) patients. Over 80% of patients had metachronous lung metastases, with a median of 29.0 months from initial diagnosis. Video-assisted thoracic surgery with wedge resection was performed in 20 (60.6%) patients. Over 90% of patients had solitary metastasis resected, with 97% of R0 resection. Median tumor size was 23.0 mm (min: 10; max: 90). Adjuvant treatment was given to 31 (93.9%) patients, while neoadjuvant treatment was given only to 8 (25%) patients. Of the 33 patients, there were 25 (75.7%) relapses. The most frequent site of relapse was lung in 15 (45.5%) patients. Interestingly, there were only 4 (12.2%) patients who had a relapse in the liver after lung metastasectomy. We found that median disease-free survival (DFS) and overall survival (OS) were 43.0 (13.0-73.0) and 55.0 (31.6-78.4) months, respectively. CONCLUSIONS: Pulmonary metastasectomy was associated with significantly long-time survival rates in mCRC (43 months of DFS and 55 months of OS). The second relapse occurred in 25 (75.7%) patients, with isolated lung metastases in nearly half of the patients (45.5%). Therefore, lung metastases in mCRC were unique and a multidisciplinary team including a thoracic surgeon should manage these patients.	[Yildizi, Oya; Findikcioglu, Alper] Baskent Univ, Dept Thorac Surg, Fac Med, Ankara, Turkey; [Daez, Shute Ailia; Kos, Fatih] Baskent Univ, Dept Internal Med, Fac Med, Div Med Oncol, Ankara, Turkey		Yildizi, O (corresponding author), Baskent Univ, Dept Thorac Surg, Fac Med, Ankara, Turkey.	oyayildiz@hotmail.com	kose, fatih/G-4827-2016; FINDIKCIOGLU, Alper/AFT-2303-2022	kose, fatih/0000-0002-0156-5973; yildiz, oya/0000-0002-1051-3470; DAE, shute Ailia/0000-0002-3532-8394					15	2	2	0	3	ASSOC MEDICA BRASILEIRA	SAO PAULO	RUA SAO CARLOS DO PINHAL 324, CAIXA POSTAL 8904, SAO PAULO, SP, BRAZIL		1806-9282		REV ASSOC MED BRAS	Rev. Assoc. Med. Bras.		2021	67	7					1015	1020		10.1590/1806-9282.20210472	http://dx.doi.org/10.1590/1806-9282.20210472			6	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	WJ3ZR	34817516				2022-11-22	WOS:000708987200020
J	Guzel, S; Ozen, S; Cosar, SN				Guzel, Sukran; Ozen, Selin; Cosar, Sacide Nur			Bilateral peroneal nerve palsy secondary to prolonged sitting in an adolescent patient	INTERNATIONAL JOURNAL OF NEUROSCIENCE			English	Article						Peroneal nerve palsy; children; compression neuropathy; posture	MONONEUROPATHY; NEUROPATHY	Peroneal nerve palsy most commonly occurs due to focal compression of the peroneal nerve at the level of the fibular head and causes foot drop and variable sensory loss. Mononeuropathies infrequently occur in childhood, bilateral peroneal palsy is very rare. In this article, we report the case of a 14-year-old boy with bilateral peroneal nerve entrapment which developed secondary to a prolonged sitting posture. We discuss the clinical assessment, diagnosis, and treatment of this rare case of bilateral peroneal palsy following prolonged immobility in light of the current literature.	[Guzel, Sukran; Ozen, Selin; Cosar, Sacide Nur] Baskent Univ, Fac Med, Phys Med & Rehabil Clin, Ankara, Turkey		Guzel, S (corresponding author), Baskent Univ, Fac Med, Phys Med & Rehabil Clin, Ankara, Turkey.	sukranguzel@windowslive.com	Güzel, Şükran/AAG-3148-2021; ozen, selin/ABC-1305-2020; Cosar, Sacide Nur Saracgil/AAF-1085-2021	Güzel, Şükran/0000-0001-9852-0917; ozen, selin/0000-0002-7290-8558; Cosar, Sacide Nur Saracgil/0000-0001-8306-463X					13	2	2	0	2	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0020-7454	1563-5279		INT J NEUROSCI	Int. J. Neurosci.	SEP 2	2022	132	9					885	887		10.1080/00207454.2020.1849188	http://dx.doi.org/10.1080/00207454.2020.1849188		NOV 2020	3	Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	3V5TO	33175582				2022-11-22	WOS:000590088100001
